ParkName,County,ParkIdentifier,ParkAddress,FireAuthority,Jurisdiction,MH_Spaces,RV_Lots_W_Drains,RV_Lots_WO_Drains,OperatedBy,FullAddress,Address,City,State,Zip
ROCK HARBOR RESORT,PLUMAS,32-0104-MP,"4256 HWY 147, EAST SHORE, LAKE ALMANOR, CA 96137, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",20,0,0,"CARTWRIGHT, CHRIS, 1713 PATTY DR, YUBA CITY, CA 95993","4256 HWY 147, EAST SHORE, LAKE ALMANOR, CA 96137",4256 HWY 147  EAST SHORE,LAKE ALMANOR,CA,96137
LAST CHANCE CREEK CAMPGROUND,PLUMAS,32-0105-MP,"NORTH OF CHESTER, CHESTER, CA 96020, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,25,"PG&E RECREATIONAL LAND PLANNER, 350 SALEM STREET, CHICO, CA 95928","NORTH OF CHESTER, CHESTER, CA 96020",NORTH OF CHESTER,CHESTER,CA,96020
PONDEROSA FLAT CAMPGROUND,PLUMAS,32-0106-MP,"GENERAL DELIVERY, CANYON DAM, CA 95923, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,45,"PG&E RECREATIONAL LAND PLANNER, 350 SALEM STREET, CHICO, CA 95928","GENERAL DELIVERY, CANYON DAM, CA 95923",GENERAL DELIVERY,CANYON DAM,CA,95923
COOL SPRINGS CAMPGROUND,PLUMAS,32-0107-MP,"BUTTS LAKE RD, LAKE ALMANOR, CA 96137, (916) 386-5579","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,22,"PG&E RECREATIONAL LAND PLANNER, 350 SALEM STREET, CHICO, CA 95928","BUTTS LAKE RD, LAKE ALMANOR, CA 96137",BUTTS LAKE RD,LAKE ALMANOR,CA,96137
YELLOW CREEK CAMPGROUND,PLUMAS,32-0108-MP,"HUMBUG VALLEY, CHESTER, CA 96020, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,10,"PG&E RECREATIONAL LAND PLANNER, 350 SALEM STREET, CHICO, CA 95928","HUMBUG VALLEY, CHESTER, CA 96020",HUMBUG VALLEY,CHESTER,CA,96020
ROCKY POINT CAMPGROUND,PLUMAS,32-0109-MP,"HWY 89, CHESTER, CA 96020, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,80,"PG&E RECREATIONAL LAND PLANNER, 350 SALEM STREET, CHICO, CA 95928","HWY 89, CHESTER, CA 96020",HWY 89,CHESTER,CA,96020
HASKINS VALLEY CAMPGROUND,PLUMAS,32-0112-MP,"BUCKS LAKE, QUINCY, CA 95971, (530) 284-7407","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,65,"PACIFIC GAS & ELECTRIC COMPANY, 350 SALEM STREET, CHICO, CA 95928","BUCKS LAKE, QUINCY, CA 95971",BUCKS LAKE,QUINCY,CA,95971
LAKE DAVIS CAMPGROUND,PLUMAS,32-0117-MP,"7394 DAVIS WAY, PORTOLA, CA 96122, (530) 832-4853","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,26,50,"GOODMAN, KEVIN & CHRISTI, 7394 DAVIS WAY, PORTOLA, CA 96122","7394 DAVIS WAY, PORTOLA, CA 96122",7394 DAVIS WAY,PORTOLA,CA,96122
SLEEPY HOLLOW RV PARK,PLUMAS,32-0120-MP,"3820 GRIZZLY CREEK RD, PORTOLA, CA 96122, (530) 832-1077","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",4,41,0,"GENESCRITTI, JUDY, PO BOX 1057, KAILUA KONA, HI 96745","3820 GRIZZLY CREEK RD, PORTOLA, CA 96122",3820 GRIZZLY CREEK RD,PORTOLA,CA,96122
LEONARD AVE TP,PLUMAS,32-0122-MP,"176 PLUMAS, 177 LEONARD AVE, QUINCY, CA 95971, (530) 832-1077","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"ELLERMEYER, JEFFREY, PO BOX 657, QUINCY, CA 95971","176 PLUMAS, 177 LEONARD AVE, QUINCY, CA 95971",176 PLUMAS  177 LEONARD AVE,QUINCY,CA,95971
"TJ KURAISA, LLC",PLUMAS,32-0124-MP,"102 LITTLE BEAR RD, BLAIRSDEN, CA 96103, (530) 836-2774","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,78,15,"KURAISA, TODD, 615 MEADOW VISTA DR, RENO, NV 89511","102 LITTLE BEAR RD, BLAIRSDEN, CA 96103",102 LITTLE BEAR RD,BLAIRSDEN,CA,96103
LEISURE TP,PLUMAS,32-0131-MP,"FEATHER RIVER DR\HWY 36, CHESTER, CA 96020, (530) 258-2302","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,27,0,"MCGILL, PAUL, PO BOX 1282 124 FEATHER RIVER DR, CHESTER, CA 96020","FEATHER RIVER DR\HWY 36, CHESTER, CA 96020",FEATHER RIVER DR\HWY 36,CHESTER,CA,96020
LAKE HAVEN RESORT,LASSEN,32-0132-MP,"7329 HWY 147 EAST SHORE, WESTWOOD, CA 96137, (530) 596-3249","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",5,27,3,"LAKEHAVEN, LLC, 12011 BEL-RED #206, BELLEVUE, WA 98005","7329 HWY 147 EAST SHORE, WESTWOOD, CA 96137",7329 HWY 147 EAST SHORE,WESTWOOD,CA,96137
SIERRA SPRINGS RV RESORT,PLUMAS,32-0133-MP,"70099 HWY 70, PORTOLA, CA 96122, (530) 836-2747","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",20,19,0,"EMMETT, CHARLES&LANEDA, 1579 HAMMON AVE, OROVILLE, CA 95966","70099 HWY 70, PORTOLA, CA 96122",70099 HWY 70,PORTOLA,CA,96122
SOPER COMPANY TP,PLUMAS,32-0135-MP,"96 FALES CT, MEADOW VALLEY, CA 95956, (530) 675-2343","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",6,0,0,"SOPER COMPANY, 19855 BARTON HILL RD, STRAWBERRY VALLEY, CA 95981","96 FALES CT, MEADOW VALLEY, CA 95956",96 FALES CT,MEADOW VALLEY,CA,95956
GRIZZLY'S DEN,PLUMAS,32-0137-MP,"310 1ST ST, GREENVILLE, CA 95947, (916) 791-7406","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"CLARK, DONALD, 310 FIRST ST - OFFICE, GREENVILLE, CA 95947","310 1ST ST, GREENVILLE, CA 95947",310 1ST ST,GREENVILLE,CA,95947
MILL CREEK PARK,PLUMAS,32-0140-MP,"25 N MILL CREEK RD, QUINCY, CA 95971, (530) 283-3474","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",10,0,0,"SCULLY, GARY & KATHY, PO BOX 736, QUINCY, CA 95971","25 N MILL CREEK RD, QUINCY, CA 95971",25 N MILL CREEK RD,QUINCY,CA,95971
HIGH SIERRA CAMPGROUND/TRAILHEAD,PLUMAS,32-0147-MP,"326 PENINSULA DR, LAKE ALMANOR, CA 96137, (530) 283-7306","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,7,"PLUMAS BANK, ATTN: KATHY BEATTY 35 S LINDAN AVE, QUINCY, CA 95971","326 PENINSULA DR, LAKE ALMANOR, CA 96137",326 PENINSULA DR,LAKE ALMANOR,CA,96137
HIGHSIDERS MHP,PLUMAS,32-0150-MP,"397 E SIERRA ST, PORTOLA, CA 96122, (530) 832-1651","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",7,0,0,"SWOFFORD, CINDY, 397 E SIERRA ST #5, PORTOLA, CA 96122","397 E SIERRA ST, PORTOLA, CA 96122",397 E SIERRA ST,PORTOLA,CA,96122
TALL PINE MOBILE HOME PARK,PLUMAS,32-0152-MP,"349 TAYLOR ST, PORTOLA, CA 96122, (530) 832-9773","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",6,0,0,"POWELL, DANIEL, 76797 ROCKY POINT, PORTOLA, CA 96122","349 TAYLOR ST, PORTOLA, CA 96122",349 TAYLOR ST,PORTOLA,CA,96122
SHADY PINES,PLUMAS,32-0155-MP,"1750 LEE RD, QUINCY, CA 95971, (530) 283-1587","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",61,0,0,"SHADY PINES MANUFACTURED HOUSING COMMUNITY LLC, 6653 EMBARCADERO SUITE C, STOCKTON, CA 95219","1750 LEE RD, QUINCY, CA 95971",1750 LEE RD,QUINCY,CA,95971
VALIVU MH ESTATES,PLUMAS,32-0160-MP,"5436 N VALLEY RD, GREENVILLE, CA 95947, (530) 284-7417","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",19,0,0,"DUNHAM, DONALD & BERNADINE, PO BOX 629, GREENVILLE, CA 95947","5436 N VALLEY RD, GREENVILLE, CA 95947",5436 N VALLEY RD,GREENVILLE,CA,95947
FEATHER RIVER RV & MOBILE HOME PARK,PLUMAS,32-0162-MP,"71326 HWY 70, PORTOLA, CA 96122, (530) 836-2183","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",31,33,35,"COLACURCIO, TAMMY, PO BOX 1366, PORTOLA, CA 96122","71326 HWY 70, PORTOLA, CA 96122",71326 HWY 70,PORTOLA,CA,96122
PINE FOREST,PLUMAS,32-0164-MP,"2400 E MAIN ST, QUINCY, CA 95971, (530) 283-9657","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"GLIDDEN, DIANNA, 620 CAPITOLA AVE, CAPITOLA, CA 95010","2400 E MAIN ST, QUINCY, CA 95971",2400 E MAIN ST,QUINCY,CA,95971
PINE ST MHP,PLUMAS,32-0166-MP,"2019-2021 PINE ST, EAST QUINCY, CA 95971, (530) 283-2141","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"ENVIRONMENTAL ALTERNATIVES, PO BOX 3940, QUINCY, CA 95971","2019-2021 PINE ST, EAST QUINCY, CA 95971",2019-2021 PINE ST,EAST QUINCY,CA,95971
PINE VIEW MHP,PLUMAS,32-0167-MP,"25 REDBURG AVE, EAST QUINCY, CA 95971, (530) 832-5205","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",22,0,0,"PINEVIEW LLC, 3074 BRENT RD, REDDING, CA 96002","25 REDBURG AVE, EAST QUINCY, CA 95971",25 REDBURG AVE,EAST QUINCY,CA,95971
CANYON DAM MH ESTATES,PLUMAS,32-0168-MP,"29586 HWY 89, CANYON DAM, CA 95923, (925) 997-6676","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",12,0,0,"MORTON, ROBERT, PO BOX 417, QUINCY, CA 95971","29586 HWY 89, CANYON DAM, CA 95923",29586 HWY 89,CANYON DAM,CA,95923
RED BARN MHP,PLUMAS,32-0170-MP,"5566 SEMAPHORE RD, PORTOLA, CA 96122, (775) 737-9330","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",5,0,0,"KELLY, ROBERT & MARYMARY, 17360 US HWY 395 NORTH, RENO, NV 89509","5566 SEMAPHORE RD, PORTOLA, CA 96122",5566 SEMAPHORE RD,PORTOLA,CA,96122
COZY CORNER MHP,PLUMAS,32-0172-MP,"2350 E MAIN ST, QUINCY, CA 95971, (530) 906-7199","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"SUMMERFIELD, MIKE, 2601 FERN RIDGE LANE, QUINCY, CA 95971","2350 E MAIN ST, QUINCY, CA 95971",2350 E MAIN ST,QUINCY,CA,95971
CRYSTAL SPRINGS TP,PLUMAS,32-0173-MP,"29362 HWY 70 WEST, TWAIN, CA 95984, (415) 388-6381","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",10,0,0,"GILDRED, HELEN, 51 MONTE CIMAS AVE, MILL VALLEY, CA 94941","29362 HWY 70 WEST, TWAIN, CA 95984",29362 HWY 70 WEST,TWAIN,CA,95984
LAKE ALMANOR RESORT,PLUMAS,32-0174-MP,"2706 BIG SPRINGS RD, LAKE ALMANOR, CA 96137, (619) 726-2998","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,13,0,"CRRVP LLC, 1087 LEWIS RIVER RD PMB 325, WOODLAND, WA 98674","2706 BIG SPRINGS RD, LAKE ALMANOR, CA 96137",2706 BIG SPRINGS RD,LAKE ALMANOR,CA,96137
SIERRA VALLEY RV PARK,PLUMAS,32-0175-MP,"81247 HWY 70, BECKWOURTH, CA 96129, (530) 832-1124","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",1,44,0,"SVRV LLC, 175 MOONSHINE CIRCLE, RENO, NV 89523","81247 HWY 70, BECKWOURTH, CA 96129",81247 HWY 70,BECKWOURTH,CA,96129
TWAIN RV PARK,PLUMAS,32-0177-MP,"130 TWAIN STORE RD, TWAIN, CA 95984, (530) 283-2130","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,0,9,"HARDY D. AND JOYCE GERRY-LINDAHL, PO BOX 56, TWAIN, CA 95984","130 TWAIN STORE RD, TWAIN, CA 95984",130 TWAIN STORE RD,TWAIN,CA,95984
PINE OAK RV PARK,PLUMAS,32-0179-MP,"58321 GILL RANCH RD, CROMBERG, CA 96103, (530) 836-2079","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",1,20,0,"O'MASSEY, MICHAEL & BINH, PO BOX 30126, BLAIRSDEN, CA 96103","58321 GILL RANCH RD, CROMBERG, CA 96103",58321 GILL RANCH RD,CROMBERG,CA,96103
PIONEER RV PARK,PLUMAS,32-0180-MP,"1326 PIONEER RD, QUINCY, CA 95971, (530) 283-0769","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",1,62,0,"AGUILAR FAMILY TRUST 1999, PO BOX 3676, QUINCY, CA 95971","1326 PIONEER RD, QUINCY, CA 95971",1326 PIONEER RD,QUINCY,CA,95971
RIVER RANCH RV PARK,PLUMAS,32-0181-MP,"42331 HWY 70, QUINCY, CA 95971, (530) 283-1908","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,32,0,"DYER, THELMA, 503 CRESENT ST, QUINCY, CA 95971","42331 HWY 70, QUINCY, CA 95971",42331 HWY 70,QUINCY,CA,95971
LAKE ALMANOR CABIN CLUB,PLUMAS,32-0182-MP,"408 PONDEROSA DR, LAKE ALMANOR, CA 96137, (800) 720-7827","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,8,0,"KNUTSSON, LYNEA, 22 SECOND STREET, WOODLAND, CA 95695","408 PONDEROSA DR, LAKE ALMANOR, CA 96137",408 PONDEROSA DR,LAKE ALMANOR,CA,96137
DEAL RANCH MHP,PLUMAS,32-0183-MP,"330 SCHOOL ST, CRESCENT MILLS, CA 95934, (530) 284-6804","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,0,0,"DEAL, RUTH, 300 MAIN ST, CRESCENT MILLS, CA 95934","330 SCHOOL ST, CRESCENT MILLS, CA 95934",330 SCHOOL ST,CRESCENT MILLS,CA,95934
412 PENINSULA DRIVE,PLUMAS,32-0186-MP,"412 PENINSULA DRIVE, LAKE ALMANOR, CA 96137, (530) 596-3348","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,4,0,"WOMACK, BRETT & PATRICIA, 461 FIREHOUSE RD, WESTWOOD, CA 96137","412 PENINSULA DRIVE, LAKE ALMANOR, CA 96137",412 PENINSULA DRIVE,LAKE ALMANOR,CA,96137
ALMANOR LAKEFRONT VILLAGE,PLUMAS,32-10601-MP,"310 PENINSULA DR., LAKE ALMANOR, CA 96137, (408) 371-1734","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,19,0,"ALMANOR LAKEFRONT, LLC, 20 S SANTA CRUZ AVE SUITE # 320, LOS GATOS, CA 95030","310 PENINSULA DR., LAKE ALMANOR, CA 96137",310 PENINSULA DR.,LAKE ALMANOR,CA,96137
PINE CONE LODGE RV RESORT,PLUMAS,32-11122-MP,"416 PENINSULA DRIVE, LAKE ALMANOR, CA 96137, (530) 596-3348","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",0,20,0,"WOMACK, BRETT, 461 FIREHOUSE ROAD, LAKE ALMANOR, CA 96137","416 PENINSULA DRIVE, LAKE ALMANOR, CA 96137",416 PENINSULA DRIVE,LAKE ALMANOR,CA,96137
EAGLE RIDGE RV PARK GE,PLUMAS,32-12281-MP,"1519 JOHNSVILLE RD, BLAIRSDEN, CA 96103, (775) 322-7326","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",2,44,0,"BERTRAND, VIRGINIA, 1725 BERKELEY DR, RENO, NV 89509","1519 JOHNSVILLE RD, BLAIRSDEN, CA 96103",1519 JOHNSVILLE RD,BLAIRSDEN,CA,96103
ADOBE VILLAGE MHP,RIVERSIDE,33-0002-MP,"53 080 HARRISON STREET, COACHELLA, CA 92236, (619) 398-2318","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",33,0,0,"ADOBE VILLAGE LLC, 3511 DEL PASO RD #160/147, SACRAMENTO, CA 95835","53 080 HARRISON STREET, COACHELLA, CA 92236",53 080 HARRISON STREET,COACHELLA,CA,92236
ALOHA MOBILE HOME PARK,RIVERSIDE,33-0006-MP,"905 W LA CADENA DR, RIVERSIDE, CA 92501, (951) 781-9123","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"BAEK, HWA, 905 W LA CADENA DR SP 5, RIVERSIDE, CA 92501","905 W LA CADENA DR, RIVERSIDE, CA 92501",905 W LA CADENA DR,RIVERSIDE,CA,92501
BANNING MOUNTAIN VIEW ESTATES MHP LLC,RIVERSIDE,33-0008-MP,"501 WEST  RAMSEY STREET, BANNING, CA 92220, (951) 849-3623","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",64,0,0,"SHINTANI, MATTHEW, PO BOX 21838, EUGENE, OR 97402","501 WEST  RAMSEY STREET, BANNING, CA 92220",501 WEST  RAMSEY STREET,BANNING,CA,92220
HIDDEN OASIS MOBILE HOME PARK,RIVERSIDE,33-0011-MP,"983 W LA CADENA DR, RIVERSIDE, CA 92501, (951) 743-9181","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"HIDDEN OASIS LLC, 4119 MARGIE WAY, RIVERSIDE, CA 92505","983 W LA CADENA DR, RIVERSIDE, CA 92501",983 W LA CADENA DR,RIVERSIDE,CA,92501
JAYHAWK TP,RIVERSIDE,33-0012-MP,"5934 MISSION BLVD, RIVERSIDE, CA 92509, (714) 849-3623","LOCAL FIRE AUTHORITY, XXXX, RIVERSIDE, CA 92501","COUNTY OF RIVERSIDE ENVIRONMENTAL SERVICES, MOBILEHOME PARKS PROGRAM -, PO BOX 7600, RIVERSIDE, CA 92513",9,0,0,"COAST & COUNTRY R. E., C/O KEITH KELLEY 4117 10TH ST., RIVERSIDE, CA 92501","5934 MISSION BLVD, RIVERSIDE, CA 92509",5934 MISSION BLVD,RIVERSIDE,CA,92509
BURTONS MH & RV PARK,RIVERSIDE,33-0015-MP,"1576 EAST HOBSONWAY, BLYTHE, CA 92225, (760) 922-3814","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",61,43,6,"DOTBURN LLC (DBA), PO BOX 880, BLYTHE, CA 92226","1576 EAST HOBSONWAY, BLYTHE, CA 92225",1576 EAST HOBSONWAY,BLYTHE,CA,92225
COTTONWOOD MOBILE HOME PARK,RIVERSIDE,33-0018-MP,"5171 MISSION BLVD, RIVERSIDE, CA 92509, (714) 683-1011","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","COUNTY OF RIVERSIDE ENVIRONMENTAL SERVICES, MOBILEHOME PARKS PROGRAM -, PO BOX 7600, RIVERSIDE, CA 92513",32,0,0,"J&H ASSET PROPERTY MGMT, 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887","5171 MISSION BLVD, RIVERSIDE, CA 92509",5171 MISSION BLVD,RIVERSIDE,CA,92509
